model,auroc,auroc_ci_lower,auroc_ci_upper,auprc,auprc_ci_lower,auprc_ci_upper,balanced_accuracy,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,brier,brier_ci_lower,brier_ci_upper,sensitivity,sensitivity_ci_lower,sensitivity_ci_upper,specificity,specificity_ci_lower,specificity_ci_upper
calibrated_gradient_boosting,0.859083934435633,0.8348519538260905,0.8831121854451062,0.8659125585838905,0.831353879542762,0.9002617390180128,0.7835290799669214,0.7573804536400631,0.8096365729520696,0.15168759318905323,0.13887044806797164,0.16409713035704526,0.8055009823182712,0.7724618064100865,0.8406374501992032,0.7615571776155717,0.7215770239827419,0.802384719710669
catboost,0.8402358519878202,0.8140730013502849,0.8653987134261413,0.8557848206457509,0.8209296908204348,0.8887676661324874,0.7592579314432669,0.7316701417733248,0.7864376552686649,0.1715552582729966,0.1616481056168901,0.1813358479214981,0.7131630648330058,0.6754530965991412,0.75348053095568,0.805352798053528,0.7677174993135729,0.8424860375804125
gradient_boosting,0.8165311497664903,0.7884230682677441,0.8462894070553761,0.8339949082850158,0.7964301831877381,0.8709396227921157,0.7445159871701108,0.7162060269722769,0.7734667711939647,0.18428964399762024,0.17469792081417984,0.19319756623746437,0.7347740667976425,0.6982516875222042,0.7726440877714799,0.754257907542579,0.7132624626996664,0.794873417721519
lightgbm,0.8343060913293086,0.8081510723147967,0.8601041371767487,0.8440447539417373,0.8067664924098911,0.8781824721749812,0.7597263849253582,0.7327216627010051,0.786862318306165,0.17722900711959963,0.16818800712935136,0.1863121692271122,0.7092337917485265,0.6706337535014005,0.75,0.8102189781021898,0.7747404594828415,0.8476658476658476
logistic_l2,0.8304389600332698,0.8032472932486949,0.8573469398087252,0.8506144581751981,0.8152535853019757,0.8831659527490265,0.774370336378281,0.7473194634448771,0.8005080231330856,0.16917851905502265,0.15556295803102266,0.18320664332461725,0.7190569744597249,0.6776177725099697,0.7585513078470825,0.829683698296837,0.7908626064476886,0.8641997354497354
mlp_notebook_baseline,0.8229484844573827,0.7962431460681028,0.8497996813527086,0.8296290057681768,0.7932115141388622,0.8670991166455139,0.7520494839841491,0.7247630256373435,0.7790135786206291,0.17579776454931623,0.1601257431396712,0.19151862856515442,0.7328094302554028,0.6952141640905259,0.7711538461538462,0.7712895377128953,0.7301161329811223,0.8114143920595533
random_forest,0.8432927499653441,0.8173231085949036,0.8689751585282968,0.8408218030342278,0.800355388718034,0.882452443619027,0.7674869382740835,0.7399671803748619,0.7955240797881653,0.16351293327798702,0.1516021309623039,0.17512150987075983,0.756385068762279,0.7202362580834804,0.793778445937979,0.7785888077858881,0.7401523612739898,0.8179603580562659
stacking_ensemble,0.8215335637359644,0.7937859467806078,0.8486862568647271,0.8281673917805674,0.7907455599411144,0.8663217639104225,0.7548004531570418,0.7256865277726529,0.7824662338450312,0.16995533135967716,0.15650215512662813,0.1831449578579976,0.8015717092337917,0.7657838297488073,0.8369817082354358,0.708029197080292,0.6640699473012105,0.7506115518050839
svm_rbf,0.8350039914148729,0.8084856834461863,0.8615079167618749,0.8545624349703927,0.8216474545831833,0.8868341571427664,0.7269489815916902,0.7000031713818168,0.7531048176759403,0.17173274364007146,0.15905680420259177,0.18420793485501322,0.8821218074656189,0.8527591451773031,0.9096481016088895,0.5717761557177615,0.5252951663455733,0.6189349283402681
xgboost,0.8025707579864148,0.7747209158096522,0.8314092451889774,0.8264649619199353,0.7904534720723252,0.8610383097452525,0.7139971988393826,0.6844887309384168,0.7427776414843881,0.18577748095114904,0.1754181564994656,0.19597489711712174,0.8172888015717092,0.7838873254393883,0.8504045764997608,0.610705596107056,0.5632754342431762,0.6572141519962559
