feature,importance,importance_std,signed_effect
cp,0.06036775988412943,0.006595265518143193,
chol,0.04745123064641797,0.003961190040469629,
oldpeak,0.02056116425030706,0.0027002922020186414,
exang,0.01967564376502748,0.0029545278691867,
sex,0.01185683248963905,0.00291631572496638,
age,0.00805184298204098,0.0018435335237999982,
thal,0.007352150344886885,0.002223192933449393,
thalach,0.006943149823851927,0.0014195549929223615,
ca,0.006231208084168605,0.0011041933087304876,
trestbps,0.0038530896419198685,0.0005139807186052678,
fbs,0.0027494753799014032,0.0007554460153888282,
slope,0.0022690715538792455,0.0003492649017721887,
restecg,0.0009207739998756403,0.0003749509677753884,
