model,held_out_center,best_params,inner_best_score
logistic_l2,Cleveland,"{""classifier__C"": 0.1}",0.7277504848103868
random_forest,Cleveland,"{""classifier__min_samples_split"": 2, ""classifier__min_samples_leaf"": 5, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 4}",0.7776920715693801
gradient_boosting,Cleveland,"{""classifier__subsample"": 1.0, ""classifier__n_estimators"": 120, ""classifier__min_samples_leaf"": 5, ""classifier__max_depth"": 2, ""classifier__learning_rate"": 0.01}",0.7654924692683536
calibrated_gradient_boosting,Cleveland,{},0.7614614940525716
mlp_notebook_baseline,Cleveland,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [256, 128, 64], ""classifier__learning_rate_init"": 0.001}",0.7064441612247653
xgboost,Cleveland,"{""classifier__subsample"": 1.0, ""classifier__scale_pos_weight"": 1.0, ""classifier__reg_lambda"": 1.5, ""classifier__reg_alpha"": 0.1, ""classifier__n_estimators"": 100, ""classifier__min_child_weight"": 5, ""classifier__max_depth"": 5, ""classifier__learning_rate"": 0.01, ""classifier__gamma"": 0.2, ""classifier__colsample_bytree"": 0.8}",0.7641123509692443
lightgbm,Cleveland,"{""classifier__subsample"": 0.8, ""classifier__reg_lambda"": 1.0, ""classifier__reg_alpha"": 0.1, ""classifier__num_leaves"": 31, ""classifier__n_estimators"": 100, ""classifier__min_child_samples"": 20, ""classifier__max_depth"": 4, ""classifier__learning_rate"": 0.01, ""classifier__colsample_bytree"": 0.7}",0.7592204011039169
catboost,Cleveland,"{""classifier__learning_rate"": 0.01, ""classifier__l2_leaf_reg"": 7, ""classifier__iterations"": 100, ""classifier__depth"": 8, ""classifier__border_count"": 128}",0.7732689237393426
svm_rbf,Cleveland,{},0.707065031865338
stacking_ensemble,Cleveland,{},0.7519533641746924
logistic_l2,Hungary,"{""classifier__C"": 0.01}",0.7178866103043594
random_forest,Hungary,"{""classifier__min_samples_split"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 4}",0.7490624645664049
gradient_boosting,Hungary,"{""classifier__subsample"": 0.8, ""classifier__n_estimators"": 60, ""classifier__min_samples_leaf"": 1, ""classifier__max_depth"": 2, ""classifier__learning_rate"": 0.01}",0.7351067829123895
calibrated_gradient_boosting,Hungary,{},0.7382506360383124
mlp_notebook_baseline,Hungary,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [128, 64, 32], ""classifier__learning_rate_init"": 0.0005}",0.7224210491308692
xgboost,Hungary,"{""classifier__subsample"": 1.0, ""classifier__scale_pos_weight"": 2.0, ""classifier__reg_lambda"": 1.0, ""classifier__reg_alpha"": 0.01, ""classifier__n_estimators"": 100, ""classifier__min_child_weight"": 1, ""classifier__max_depth"": 3, ""classifier__learning_rate"": 0.01, ""classifier__gamma"": 0.1, ""classifier__colsample_bytree"": 0.7}",0.7314911549052837
lightgbm,Hungary,"{""classifier__subsample"": 0.8, ""classifier__reg_lambda"": 1.0, ""classifier__reg_alpha"": 0.1, ""classifier__num_leaves"": 31, ""classifier__n_estimators"": 100, ""classifier__min_child_samples"": 20, ""classifier__max_depth"": 4, ""classifier__learning_rate"": 0.01, ""classifier__colsample_bytree"": 0.7}",0.7124934291989424
catboost,Hungary,"{""classifier__learning_rate"": 0.01, ""classifier__l2_leaf_reg"": 7, ""classifier__iterations"": 100, ""classifier__depth"": 8, ""classifier__border_count"": 128}",0.7438435080734397
svm_rbf,Hungary,{},0.6260268732937421
stacking_ensemble,Hungary,{},0.7236352671380496
logistic_l2,Switzerland,"{""classifier__C"": 0.1}",0.8278426660089512
random_forest,Switzerland,"{""classifier__min_samples_split"": 5, ""classifier__min_samples_leaf"": 1, ""classifier__max_features"": ""sqrt"", ""classifier__max_depth"": 4}",0.8289412895678843
gradient_boosting,Switzerland,"{""classifier__subsample"": 0.8, ""classifier__n_estimators"": 60, ""classifier__min_samples_leaf"": 1, ""classifier__max_depth"": 2, ""classifier__learning_rate"": 0.03}",0.8305960754782501
calibrated_gradient_boosting,Switzerland,{},0.8312837763084516
mlp_notebook_baseline,Switzerland,"{""classifier__alpha"": 0.0001, ""classifier__hidden_layer_sizes"": [128, 64], ""classifier__learning_rate_init"": 0.001}",0.8197606801651117
xgboost,Switzerland,"{""classifier__subsample"": 0.7, ""classifier__scale_pos_weight"": 1.0, ""classifier__reg_lambda"": 0.5, ""classifier__reg_alpha"": 0.1, ""classifier__n_estimators"": 300, ""classifier__min_child_weight"": 3, ""classifier__max_depth"": 6, ""classifier__learning_rate"": 0.01, ""classifier__gamma"": 0.1, ""classifier__colsample_bytree"": 0.7}",0.821307933246953
lightgbm,Switzerland,"{""classifier__subsample"": 1.0, ""classifier__reg_lambda"": 0.1, ""classifier__reg_alpha"": 0.1, ""classifier__num_leaves"": 31, ""classifier__n_estimators"": 200, ""classifier__min_child_samples"": 5, ""classifier__max_depth"": 4, ""classifier__learning_rate"": 0.01, ""classifier__colsample_bytree"": 0.7}",0.8083452934497951
catboost,Switzerland,"{""classifier__learning_rate"": 0.01, ""classifier__l2_leaf_reg"": 3, ""classifier__iterations"": 300, ""classifier__depth"": 4, ""classifier__border_count"": 64}",0.8279268714646314
svm_rbf,Switzerland,{},0.8238682954034878
stacking_ensemble,Switzerland,{},0.8247922182941458
logistic_l2,VA Long Beach,"{""classifier__C"": 0.1}",0.7996295444988849
